sentence1,sentence2,label
Adrin ate like a bear on a fresh kill.,Adrin chose not to eat.,1
"But in the case of Alfred Inglethorp, all that is changed. ","All that is changed in his case, for the better. ",0
You're just as good as them.',They aren't any better than you are. ,2
Unreliable generally.,"Very reliable, always.",1
Then you know where she is?,Then you have been in touch with her?,0
"No, no! Poirot went up to her and pleaded in a low voice. ",Poirot begged that she stay the night at his place.,0
They'll take care to get him out of the way at the right minute.,They will be prepared to get him out of the way at the right time.,2
"It was hard to swallow, but there were too many things here that couldn't be in any world he had known.",There were no differences between this and that world.,1
"I'm a registered and certified--""  She stopped then, blushing, and Bork chuckled.",She began talking about her certification but stopped and Bork laughed.,2
Got you a couple of blooded hosses an' a good heavy money belt.,He did not give him a money belt.,1
"Drew Rennie at four, at six, at twelve, at sixteen riding out at night with Castleman's Company, weaving a path south through enemy-occupied territory to join General Morgan few of those would-be cavalrymen over twenty-one.",Drew Rennie road with the Castleman's Company into enemy territory since he was a young boy.,2
"Two, three times that thar mule saved m' skin fur me.",That alligator has saved me a time or two. ,1
"Yes, sir, it will be about an hour and a half's run.",The run is a few miles long. ,0
"When it was small enough, he pocketed it.",He put it in his pocket once it was small enough to fit. ,2
Anna came out and breathed a sigh of relief mixed with a resolution to once and for all get done with marihuash-flavored alcohol.,Anna was relieved and decided to be done with marihuash-flavored alcohol.,2
"Show us, said the man.",Show us immediately said the man.,0
Would Conrad again accompany the girl? ,Would Conrad serve the girl some lunch?,1
"Two sugars, if you have them.'","Ten sugars, if you have them handy.",1
Ca'daan felt cold.,Ca'daan was feeling hot.,1
"You see, you'd got it all fixed.",Nothing had been fixed. ,1
"She brought it down with her every morning, and took it up every night.""",She left it upstairs when she came down.,1
"I thought you were a nurse.""  She frowned at him, but went to a corner where a small ball of some clear crystalline substance stood.",It was my understanding that you were in the nursing profession.,2
Parents realized there was no one left to take out the trash.,Parents realize they would have to take their own trash out.,2
I know a place you can go.,I know a spot you can travel.,2
" ""Maybe I didn't,""Drew admitted.",Drew admitted that he did not do it.,2
You're quite right. ,You're absolutely correct.,2
"Apparently he is a German spy; so the gardener had told John."" Her face and voice were absolutely cold and expressionless. ","The gardener believed him to be a German spy, and a high ranking one at that.",0
"Scrambling and scrabbling around, I found an instruction manual buried under one of the consoles.",I found the manual under the computer so I could turn it on.,0
"Of course, Miss Howard, I said, ""I'll do everything I can, but I'm sure you're excited and overwrought."" She interrupted me by slowly shaking her forefinger. ",Miss Howard always interrupted me and I did not appreciate that.  ,0
"You see, under the terms of their father's will, while John inherited the property, Lawrence, at his stepmother's death, would come into a considerable sum of money. ",Lawrence and John would both become rich due to inheritance.,0
'Well.' I crinkled my face modestly.,I kept my face motionless.,1
"There was one woman who had been very keen to look after me, and chum up with me generally a Mrs. Vandemeyer.","""There was one woman who seemed to want to avoid me.""",1
"And phlogiston will quench the flame of a rocket, as your expert von Braun discovered.""  The man was a gold mine of information, all bad.","Von Braun was in exile, sent away by the new rulers.",0
I thought you were dead! he somehow gasped.,I knew you were alive!,1
"Conrad had taken the key of the door, so he could expect little more assistance from Annette.",Annette had taken the key of the door.,1
"She's in no immediate danger, because if we tumble on to anything, she'd be damned useful to them.",They set her up knowing the danger she would face.,0
"She remembered the proverb about the good dying young, I suppose.",There is a proverb about the good dying young.,1
"Having you reveal your name just before I was sent back and feeling I'd won?"" He grimaced.",I felt I won after you revealed your name.,2
He left gelded and bled to death a day later.,He bled to death after he left.,2
"You and Miss Howard seem to know what you are talking about, I observed coldly. ","The two of you have been hiding something from me, I said.",0
"I admit it; right now, I'll admit anything you want me to, because you know what's going on and I don't.","At this moment, I'll say anything, because I don't know what's happening.",2
"The action sent pain running through him, but he stood it somehow.",The action caused him no pain at all. ,1
"Mrs. Cavendish, of course, could not be called upon to give evidence against her husband. ",Mrs. Cavendish wanted to testify but was not allowed to.,0
Jon holstered his right pistol and drew his rapier.,Jon put his rapier in the holster and grabbed his pistol. ,1
We have joined in this fight to protect the town.,We will help protect the town against the warfare. ,0
"Checkmate to the Young Adventurers, he said, and slowly raised the big automatic.",He raised his empty hands. ,1
This was out in the country.,This was in the city.,1
" Dave paid no attention to where his feet were leading him, only vaguely aware that he was heading down a gully below the current construction job.",Dave paid attention to where he was going.,1
He pulled the blade out and a gout of blood followed.,"After pulling the blade out of the demon, blood came out.",0
I ejaculated.,They were speaking to someone else. ,0
"'Computer, how do I fix this damage?' I demanded.",I stopped myself before speaking to the computer. ,1
"As she had thought it stood a little ajar, and the voices within were plainly audible.",She was able to head the voices inside.,2
I shouldn't like the colonies and I'm perfectly certain they wouldn't like me!,I don't want to go to the British Colonies. ,0
"Greetings, Dave Hanson.",Dave Hanson must leave this place as he is not welcome.,1
"He had to hold it near the glowing bit for steadiness, and it began searing his fingers.",It began to burn his fingers as he held it.,2
"Just in case, he set up a second password to secure files containing, what he called, 'personally strategic data.' He added both passwords into the cell phone, just in case.",Hackers will likely try to access these files. ,0
"Swell clothes, but no class.",They took care to pick out their clothing. ,0
"No, I can't say that I have. I was becoming quite excited, but Poirot damped my ardour by remarking: ""Yet the explanation is quite simple. ",I most definitely can say that I have.,1
"He was deferential to Sir James, whom he recognized.",He knows who Sir James is.,2
It had to duplicate the courses of the objects in their sky and simulate the general behavior of the dome.,It had to mirror the paths of the objects in their sky.,2
An old woman came and opened it. ,An old lady opened it. ,2
"She built a shack of deadwood in the wizards' district and soon new rumors spread that she was a witch, a fortune teller, an alchemist, and a sage.",She built a shack for herself.,2
'Hmmm.' Derry bit her bottom lip.,Derry was confident and gave an answer.,1
" The two orderlies jumped for her, one grabbing her and the other closing his hands over her mouth.",The orderlies assisted her in escaping.,1
"You were planting a bed of begonias round by the south side of the house yesterday afternoon, were you not, Manning?",Manning is believed to have been planting begonias and daisies yesterday afternoon. ,0
I turned to Mary with a gesture of despair. ,"I looked at Mary, with a sign of desperation.",2
"She is seized with panic, and under its influence she hurries downstairs, and quickly drops the coffee-cup and saucer used by Mademoiselle Cynthia into a large brass vase, where it is discovered later by Monsieur Lawrence. ",Monsieur Lawrence never discovered the coffee cup or saucer. ,1
Books about my life-,He wrote an autobiography about his life.,1
Heavywether cared nothing for his client's anger. ,Heavywether was badly shaken by his client's sudden outburst of anger.,1
" ""Callie told me.",I was told by Callie.,2
"Oh no, I came here to learn, Nowak said and smoothed down his hair.",Nowak was bald,1
"He was utterly helpless, and he could see no hope anywhere.","With no hope, he felt himself sinking into a depressive state.",0
He rose as they entered.,He remained seated even when they entered. ,1
He handed the two keys which Dr. ,He handed two keys.,2
Sure--in the city.,"Sure, you can find pills in the city.",0
And all this since yesterday?' Mieczyslaw was honestly surprised.,"Mieczyslaw was surprised, and felt the need to voice his surprise.",2
Hid me out by sayin' as how I had th' cholera.,He said that I was perfectly well. ,1
No large tribe would bother to navigate the small trail for a week or cross Heaven's Highway and few knew the trails that led through the crags.,The trails went through the craigs for 12 miles.,0
The helicopter was armed.,An armed helicopter.,2
No. I want Jane Finn.,Jane Finn is the one that I want.,2
"Jon swung, stabbed, riposted, and kicked.",He took down each of his enemies with his swift moves.,0
"They dueled with rapiers and daggers, learning to accept a disarm for the gun.",They were better with rapiers and daggers than they had been with guns.,0
"She frowned, torn between old and new loyalties.",She felt torn between old and recent loyalties and frowned.,2
"Maybe he was learning to take it, here, but not to like it.",He was growing to like the whole experience.,1
"Kill him!"" There was a roar of applause.",There was a roar of applause after a shout telling to kill him.,2
"166 from that moment, I was equally determined that he should not be arrested.""",I determined from that moment that he shouldn't be arrested.,2
" ""Deposit.",Insert.,2
This is revolution.',This is a political revolution.,0
"She picks it up, and retreats quickly to Mademoiselle Cynthia's room, closing the door behind her. ","She picks it up, and dashes to Miss Cynthia's room.",2
"During the registration process was so competitive, it ended in violence.",Violence always erupted during all competitive events.,0
I really did not know how much Poirot would wish me to disclose. ,I had no idea how much Poirot wanted me to reveal.,2
Guilt I could relate to.,I have lived a life full of guilt.,0
Caravans of nobility rode up with dozens of slaves and armored guards.,The nobility rode with their slaves and guards.,2
"It took longer than usual for that piece to fall."" She sighed.",She thought the piece fell right on time.,1
Sounds like everybody's goin' to have to set up a string an' ride hosses in rotation.,The horses need to be ridden in rotation. Then none will get too tired.,0
Ah! I exclaimed. ,The person exclaimed in surprise. ,0
Then he withdrew it.,He didn't withdraw it.,1
Other footsteps echoed behind them.,They heard twenty footsteps behind them. ,0
"At her vehement signal, Dave squatted down beside her, not daring to believe what he was beginning to guess.","She motioned Dave down, and an idea began to take hold in his head.",2
That was yesterday.,It was yesterday.,2
Plain good sense.,It only makes sense. ,0
"You see, very few Christian names are given.",Christian names are not very popular.,2
"And I ”I, too, have an instinct. ",I do not have instinct.,1
"He had the big paper knife in his hand, and 'Mind, Dorcas,' he says, 'you'll have to be very respectful. ",The knife in his hand was made out of paper.,2
"He poured some more, because he had spilled before, and now he spilled again, and then he had enough and went behind the mixing vat to recline for a while and forget about his 83 kilograMs.  He was stirred to life by the drone of the secretary's voice:",He kept pouring and he kept spilling.,2
One of his eyebrows seems permanently raised.,It seemed like one of his eyebrows was raised permanently. ,2
Men raged and rushed at her only to fall stumbling away clutching slashed throats or eviscerated bellies.,"She stood alone, walking in the dead of night down the alleyways of the market.",1
"The Industrialist said once, ""You really think they'll come.",The industrialist was confident they would come.,1
"A party of soldiers are cut off, as was Coronel Oliveri almost men can be killed.",They were ambushed.by a party of bandits.,0
Jon's off-hand dagger spun into the sand.,Jon's dagger flew onto the ground.,2
My heart fluttered.,My pulse was slow.,1
Give it to us and we can avoid this show.,Give that item to us.,2
All three of the horses reared and dropped their riders.,The horses jogged calmly through the river. ,1
"The latter replied to it: ""Washed up on the Yorkshire coast near Ebury.",It wasn't often that things would wash up on the Yorkshire coast.,0
Jon didn't know.,Jon had a suspicion but couldn't quite figure out the situation at hand.,0
One of the front riders drew a large curved scimitar and the other pulled a short spear from a quiver of them on the side of his saddle.,The riders pulled out their weapons.,2
What's that?,Something unknown was being inquired about. ,2
"He came to me for an Italian neck-tie styling workshop, along with a few other young actors, also handsome, but less famous.'",Most actors came to this place to learn to tie their ties.,0
"And if we have to fill up a blue form and send it in, and then, after three months, they send us a green one, and so on well, that won't be much use, will it?"" Mr. Carter laughed outright.","If we have to fill out form after form, that would help much, right?",1
"Hope th' Old Man gives it to him this time, hot an' heavy, both barrels plumb center!""",Hope the Old Man goes easy on him because last time was too much.,1
"That is true, said the working man suddenly.",The man stopped working to say it.,0
"On the other hand, horses of the same combination were the pride of several other families living around Lexington.",Families in Lexington had turtles.,1
"The Industrialist stared, looked at the Astronomer, turned to stare again.",The Astronomer turned his gaze to stare as well.,0
Some are missing.,Some were gone.,2
My father has books about them.,My father has never heard of them.,1
"In other words, it was winter underclothing. ",It was nightwear designed for summer.,1
"Hampered at every turn by my colleagues, fettered by the democratic system of which I should be the mere figurehead! ","I was hampered at every turn by my colleagues, though in hindsight my work at the time wasn't what any of us would call ethical, anyway. ",0
They stop eating.,They continue eating.,1
You fired.,You are fired.,2
I'm sure you do.,I am positive you do. ,2
 Jon stepped back.,Jon edged closer,1
"It slipped under the egg, catching the falling object deftly on a cushion-like attachment between its wings, and then struck off briskly toward the east.",It was a weird winged creature from the East.,0
And that is all? ,Is that all?,2
"'But since Boston's still essentially underwater and Philadelphia is...well, Philadelphia...we thought we'd go somewhere calmer.",We wanted somewhere calmer than Philadelphia.,2
"I presume Mrs. Inglethorp took the coffee after dinner about eight o'clock, whereas the symptoms did not manifest themselves until the early hours of the morning, which, on the face of it, points to the drug having been taken much later in the evening.""",I assume Mrs. Inglethorp drank the coffee at night time so the symptoms didn't appear until five in the morning.,0
"sitting outside restaurants, begging for scraps.",Homeless people asking for food outside of Arby's. ,0
Someone was always sick and the stench of that sickness saturated all of us.,The smell of sickness was pervasive as someone was always sick,2
"The numbers changed to a seventeen-digit code and two phone companies had merged, and everyone's got new PINs with four symbols, of which two must be letters from 'g' to 'r' entered in an AZ-Max mode.'","All of the numbers, and everyone's PIN, stayed the same.",1
'Hello?' I held the speaker to my lips.,I nervously said a greeting into the speaker.,0
"But after listening to a rotten one like Julius's, I'm inclined to let you off.""",I'm inclined to let you go after having listened to Julius and Martha.,0
The danger-zone was passed.,The danger-zone was long and treacherous.,0
It was quite a while before I realized they were trying to think at me.,It took me a long time to realize that they were thinking at me.,2
"Mr. Hastings, you do not think ”surely it could not have been Lawrence ”Oh, no, that could not be! But I myself was puzzled, and as soon as I was alone with Poirot I asked him what he thought Sir Ernest was driving at. ","The moment Poirot and I were alone, I inquired as to his opinion about what it might be that Sir Ernest was insinuating. ",2
"I don't know any.""","I don't know any in this area.""",0
"Red! You, Red! Are you up there? Now don't try to hide.",Red was hiding from them and ignored the shouting.,0
Hid me out by sayin' as how I had th' cholera.,He said that I had cholera. ,2
"This time it will work, this time she'll be mine.",I have no hope of getting her.,1
"You see, we've decided to expand the Corp's merchandising rights into hitherto unexplored areas.",The merchandising rights were expanded.,2
'Is White still here?',I am certain that White is not here.,1
I do not know.,I am unsure due to the nature of the scenario.,0
"You've seen him, I suppose?","You've not seen him, I guess?",1
"There were still a few who remembered me and the odds were against me, but I found my fire again.","Even though the odds were not in my favor, I was able to find my fire. ",2
"Sir James handed her a pocket-knife, and she ripped away the brown paper from the back… .",Sir James kept the pocket knife for himself,1
Tommy lay back on the couch.,Tommy stood up and marched out the door.,1
"Talking directly to the camera, White looked somewhat worse for wear.","Times had been very hard on White, he didn't look good.",0
"If it was humor, he didn't get it.",He did not understand the joke. ,2
Gauve paused for a moment.,Gauve paused to listen for footsteps.,0
"Nurse, you seem to have gotten younger since yesterday? No Longer Sleeping remarked.",No Longer Sleeping was a mute patient in the hospital.,1
"I stuck my head out into the black, breathing in the night.",I stuck my head out the car window.,0
I wasn't looking for a bathroom.,I didn't care if I found a restroom. ,2
"Jon swung in, Adrin parried and countered.",Adrin is an inexperienced swordsman and was unable to defend himself in battle.,1
'Can I survive jumping off that?',Can I jump off that and live?,2
"Oh, I ain't afraid, gov'nor.",I've never been afraid of anything in my life.,0
"Why, Cynthia, you are late to-day. ",Cynthia was late. ,2
Fore he knew what hit us Jim Berry was face down an' never got up again.,"Jim was a keen fellow and knew exactly what had hit us, even before it happened. ",1
But he stood again.,But he rose.,2
We all lived in a blast of publicity. ,We all existed in burst of publicity.,2
Had that anything to do with it? ,There is no debate that there is no correlation.,1
"It bore the inscription, ""Mr. Edward Whittington."" Below the name were the words ""Esthonia Glassware Co.,"" and the address of a city office.",Mr. Edward Whittington works at a city office. ,0
I advised him to apply to you for a copy of the original wire.,The original wire can be copied.,2
"The only fly in the ointment of my peaceful days was Mrs. Cavendish's extraordinary, and, for my part, unaccountable preference for the society of Dr. ",Everything was peaceful without exception .,1
'What's the first thought that comes into your head?',"When I tell you I hate you, what's the first thing that comes into your head.",0
Everything did it's best to give the impression of being made from mahogany and padded leather.,It tried to look upscale.,2
'Why does it have to be my mind?',It should be my mind.,1
Well and good. ,What a disaster.,1
This was not his bedroom at the Ritz.,He never had a bedroom at the Ritz,1
"Shocked, because Abraham Lincoln was speaking with the strongest Russian accent I'd ever heard.",His accent was fake of course. ,0
Still trying to get the hang of my voice.,I'm still trying to be confident.,2
"I don't quite know, said Tuppence meditatively.","I know, said Tuppence ",1
The brill were slaughtered for food and San'doro assured them that the slaves would find their way.,The slaves will find their way.,0
"We've succeeded, said Tuppence.",Tuppence said they won.,2
'But...my sources...',My sources are wrong.,0
I had to confess myself mistaken. ,I was embarrassed to find that I was wrong.,0
"Dressed in a cotton cowl, Ca'daan watered his horse and waited for the heat of the day to pass.",Ca'daan gave his horse water.,2
"But since I must have horses, Senor Shannon, I will look at horses.","Since I need horses to work, Senor Shannon, I will look at them.",0
"He can speak to Red if he wants to, and there was no damage done to the lunch.",Red has been meaning to talk to him.,0
Sweat that sour temper and whisky out of him.,He had a sour temper.,2
You will remember my speaking of a stain on the carpet in Mrs. Inglethorp's room? ,There was no stain on Mrs. Inglethorp's pristine carpet. ,1
"Surely you know the plan  "" Kramenin interrupted him, using the words that have created many unnecessary panics: ""We have been betrayed! ","Kramenin interrupted him, using reassuring words.",1
" He began trying to plan a model with three thousand stars in their orbits, trying to find some simple way of moving them.",He started attempting to plan a model with no stars at all.,1
That is the whole trouble. ,That is not what the problem is at all.,1
The fat one shouted curses but returned to the smithy as Thorn approached the group.,The man had a foul mouth.,0
"There's no time to lose, said Tuppence, crossing the road.",Tuppence suggested that they should do it at a later time. ,1
I just caught the train.,I missed the train.,1
For raw meat?,There is a recipe for raw meat?,0
Fatigue dulled his thoughts.,He was feeling energized.,1
Call for me in passing ”the last house in the village. ,I live in the center of town. ,1
A black line of ash ran across the Kal's stomach.,The Kal did not have any ash on his body. ,1
"But still he pointed his horse south to the place where Hunt Rennie would return, bringing Johnny Shannon.",Hunt Rennie would return south after the bank robbery. ,0
The fine construction of the brothel and gambling district impressed Ca'daan.,The woman was appalled at the state of the district. ,1
"But what does it mean?"" Poirot shrugged his shoulders. ",Poirot didn't know what it meant.,2
"Ah, to ride into camp before that puffed-up gamecock of a Merinda on such a horse!"" Oliveri closed his eyes as if better to imagine the triumph.","He would love to ride in on this magnificent horse, just to see that puffed up egomaniac's face.",2
"Of course, we're still in the solar atmosphere, even there, with the Van Allen belts and such things.",That location is at the edge of the solar atmosphere.,0
Julius Hersheimmer set out to discover what had become of his cousin.,He wondered after all these years what his cousin had come to.,2
I thought you could hear what went on in the room?,I thought that there had been a murder that occurred.,0
"As she left the room, Miss Howard's face changed. ",Miss Howard had the same look on her face when she left the room.  ,1
"Yes, I wish you well in that, said the young man twisting a hammered nail in his teeth as he put together a thick-legged chair.",The man was taking apart his chair.,1
"How many people do you poison? I asked, smiling. ",I am sure you really do not poison people.  ,1
What's all this for?,All this suffering...for what?,0
He might have slipped out   suggested Julius.,Julius said the person was caught trying to leave.,1
 The fright began to build inside Adrin.,Adrin felt calm and peaceful,1
Julius was on the platform.,Julius was absent.  ,1
Brain Cell,The cell of the brain variety.,2
"What in the hells, said Adrin, picking himself up again.",Adrin stayed on the ground.,1
"Did you say REFUSES?""",Were you discussing refusals?,2
They tell me this is easy work compared to the type they had to undergo.,They say the tasks are simple relative to the work they had to do.,2
"Ca'daan's smile broke the dark vision, however.",Ca'daan has a very bright smile.,0
"Only three hours today,' father said matter-of-factly.","Father said, 'Only four hours today.'",1
"I guess that'll be all right! said a new voice, with a transatlantic intonation, ""though I'd like to point out, here and now, that things are getting a mite difficult.",We don't have much time to do this!,0
The green fire grew closer.,The flame was approaching.,2
"You see, we've decided to expand the Corp's merchandising rights into hitherto unexplored areas.",The merchandise was being sold at all stores.,0
"The crowds thinned and the tent city rose around them, mostly empty at this time in the morning.",It wasn't very busy in the morning.,2
She remembered that this was one of the men Tommy was shadowing when she had last seen him.,This man had nothing to do with Tommy or with who he was tailing.,1
"They were entirely in the dark as to my real attitude up to the very last moment ”which partly accounts for my success.""",They were in the dark because I was concealing what I really thought.,0
"In this town he ain't no gold-lace general!""",He's a general and we should respect him in this town!,1
I believe you Lucja.,He believes Lucja.,2
"So I thought, having asked for an A.B.C.",I thought about my grandmother while I waited for the A.B.C.,0
He drew out his hand and revealed a cup of iron with three straps dangling from it.,He took out the cup because he was thirsty.,0
"No, but we were both angry, and, I think, said more than we meant. ",We told each other some extremely hurtful insults. ,0
"He'd need a glass sphere with dots on it for the stars, and some kind of levers to move the planets and sun.",He needed some things like a glass sphere and some levers to move the planets and the sun.,2
"Though with th' Old Man off reppin' for th' law down along the border and needin' hands back on the Range, we swallows down th' dust nice an' easy an' takes it slow.",The Old Man went to the range.,2
"233 ""I love you now, Julius,"" said Jane Finn.",Jane Finn told Julius that she hated him.,1
I am accountable to no one.,I do what I want.,0
"I have only just heard.""",I haven't heard.,1
Then that arrangement will suit you?,You're happy with the arrangement then?,2
"What's this thing swerving  Oh!"" There was a grinding noise and a bump.",Swerving caused it to make several strange noises.,2
The talk fell on insanity.,The speakers were losing their minds.,0
Getting to work in Applied is actually quite a big deal.,They were proud of their career path.,0
"Drew Kirby. He must remember that always he was Drew Kirby, a Texan schooled with kinfolk in Kentucky, who served in the war under Forrest and was now drifting west, as were countless other rootless Confederate veterans.",Drew Kirby had lived in Dallas his whole life.,0
Three more riders came behind them.,Nobody came behind them.,1
"It was a cop, a woman of intermediate age.",The police were after us.,0
"The shield split down the middle, revealing shelves of metal boxes and packets of papers.",There were metal boxes and packets of papers inside the shield.,2
