sentence1,sentence2,label
well the limits uh uh would i think have to do with what i'd alluded to before that there needs to be a further um that that one positive on a drug test would not,There needs to be further testing on this matter.,2
i did it right as she said yeah but uh she's she's down in San Antonio it's it's a uh,She's down in San Antonio,2
oh that that would be that'd be culturally shocking,It would be culturally shocking.,2
yeah yeah i kind of watch you know see what's happening,"Besides watching to keep up with information, I also try to do deeper research into it.",0
they had they had quite a few new ones come out last year that they added to but but you don't have much spare time either,"You have a lot of spare time, don't you?",1
so he's basically you know whatever whatever the computer can do for you fine i'll learn enough to to make it work well for me but i'm not gonna be a guru,i'm not going to become a computer expert but i'll learn enough to use it,2
well that's they just put all our Christmas trees in the regular uh compost,The Christmas trees all go in with the regular compost.,2
you know um i mean let's face Dukakis and Bentsen and Bentsen good grief surely they could have done better than that course they they had a they had themselves between a rock and a hard place they had on the one hand they had Jesse Jackson with all that support and on the other they knew very,Bentsen was the worst possible candidate that they could have picked.,0
i know even even like steroids well how long does it take for marijuana to get out of your body,I don't know much about how it works with steroids.,1
uh what subjects have you talked about,Have you talked about math?,0
uh hi you mentioned model railroading that uh i've been watching a program on the Public Broadcasting Station here uh about model railroading have you ever seen that,I have never watched a program about the topic of model railroading. ,1
and uh it makes the room look remarkably smaller,"Once we moved the bed to the other side of the room, the size of the room seemed to shrink considerably. ",0
that uh oh yeah i mean they don't uh uh,I meant they definitely do.,1
i was just thinking there's,I simply thought it would be easy.,0
well you can get a walking membership for two hundred dollars a year at the course down here  yeah,It's not possible for you to get a walking membership.,1
but it's a cross between a tuba and and an and you know a horn it's a brass instrument,It is a strings instrument like a viola.,1
um-hum yeah i think that's true,That is factual.,2
we got some awful rain uh the other morning and today's just been real drizzly,"today is a clear, sunny day",1
you know i mean it's sad because those those bears were doing fine until we got there you know and now they're now we're killing them because of something that some monster that we created,The bears are being killed because some chemical that we created that the bears were forced to drink.,0
okay it it's it's a lot bigger than Monterey is but we're just uh just south of uh San Jose and San Francisco,It's a lot smaller than Monterrey.,1
uh playing such,Playing that kind.,2
like three hours,Just under an hour.,1
i'll call you that's right and they all say that they're the best Visa but you know i definitely have the one that i've,"In your case, you're right.",0
yeah it was pretty wild  and of course the only sound is Dudley Moore narrates it,It sounded rather wild and of course the only sound is Dudley Moore.,2
no you can't do very much on them right right um well it's just that you have to have uh you have to be able to get your program in and and many many of the programs are so big,You can do anything on them!,1
no i just wonder what's going to happen to the hostage to the the hostages that's over in Lebanon now that you hear all kinds of things,There are hostages in Lebanon right now.,2
a lot of people don't vote because they didn't register,People don't vote because they don't register to do so.,2
um-hum um-hum absolutely unfortunately unfortunately at a lot of times it responsibilities like that seem to fall to you know maybe one child in the whole family you know,Sometimes only one child gets all that responsibility. ,2
prices plus i was going through that TI fleet discount program,I was also participating in that TI fleet discount program.,2
okay i think we're supposed to discuss our view of the Soviet Union as a continuing  threat to the United States how do you feel about that,"So, do you think the Soviet Union is still a threat?",0
yeah he does it it's pretty amazing though how much he can get for endorsements anymore,It's pretty amazing how much he gets for endorsements,2
um-hum i would definitely support that,I wouldn't support that at all.,1
so the the end scenes are are kind of suspenseful you know when she realizes he's in the house you know after her but uh kind of had the feeling along that uh why didn't she just tell him to straighten up  you know why didn't she just tell him hey look bucko you don't get away with this nonsense,"The end scenes are full of suspense, but I also just wonder why she didn't tell him to change his ways.",2
but not uh but uh no rain at all yesterday and uh no rain today,"Yes, lots of rain these past few days. ",1
yeah that would be really great,That's something I'm really looking forward to,0
but i like i i'm a Danielle Steele fan,I hate Danielle Steele.,1
our conversation i realize that one of the things that perhaps causes me not to get a jarring difference between the two locations is that at the office i'm doing work things that in some ways are dissimilar from what i do at home uh and as a result i don't get the comparative feel uh i suspect if i were coming home and trying to do some of the projects i do at the office i would go crazy on my on my machine uh i haven't tended to play the games and and uh do the applications at work that i do at home so i probably have never been in,I do the same things at home that I do at the office.,1
i can't believe that i mean when i was in junior high and high school that never happened you never heard about that,None of that ever occurred when I attended junior high and high school.,2
you know but just like if a man and wife is fighting and he kills her that he shouldn't die because it might been accident or you never know what you know what what they done went through together should i say,"If a domestic dispute results in a murder, it could have been an accident. ",0
yeah okay i just thought they had some,I did not think that they had any.,1
well i don't know i uh as much as i didn't like school when i was going through it from my perspective now i can see that it's a lot better than what we have now,Even though I didn't like school I know that it was a lot better back then than what we have now.,2
and if it's not if it's not mom then then dad or somebody's got to move in there and do the job because the kids really need it,The children are relying on them.,0
right well i would think they would be,"I am not sure, but I believe they will be.",0
well March is the the month for high winds,The winds are calm in MArch.,1
uh right here in Maryland,Not in Maryland.,1
but i'm kind of getting a little more leery of credit cards you know as time goes by unless you just absolutely have to now there are times when you'd at least think you do anyway,Credit cards are not relevant. ,1
yeah and they're still they're still out there though uh,They are out there still.,2
well there there are a few out there it's i suppose it depends on who you're working for and where at,It depends on where you are located and who you work for.,2
well uh what do you know what the last repair was uh that that you had done to your car,You don't have a car to repair.,1
yeah i  i think so too i think that's a bit dramatic but but other than that i think it it's a good idea to get them involved in the city and community activities and you know like the uh shelters and,The benefits the community would be getting can't be understated.,0
yeah yeah i was i was uh we don't have cable so we were watching C N N a lot and then trying to switch thank goodness for remote control,"We don't have a TV, so we can't watch any channels.",1
well i think we've made it,We will never make it.,1
have you ever lived in that part of the country,Did you bomb that part of the country yet?,1
uh i don't because uh i come from a lot a bigger city than this one and i i'm in Raleigh and,I live in Raleigh but i grew up in a big city,2
right yeah so but i enjoy taking in a movie when i can i'm going to try to watch the second half of this one tonight,I will try to watch the other half of this one tonight.,2
but last night  they killed uh uh four people in a chain food,Four people were killed last night.,2
uh-huh it's almost getting to the point where there is there's too much that,It's getting to be too little.,1
well i think the Phillies picked up some good players in the free agent market didn't they,"I think with all the options of players, the ones the Phillies picked were great choices.",0
yeah well how did you like your Volvo,"How did you like your Volvo, compared to the car you had before it?",0
well i sort of one of the reasons it's taken so long is i've been working uh you know it's sort of half student half working and source of income and stuff so i'm actually managing to do this with zero debt,I am going part time and working so I don't have any debt but it is a struggle.,0
and um who are the other two he stole two associates,He stole two associates,2
oh yeah frostbites,Oh yeah nerve damage from the cold,2
which there are none down here,They don't have any here.,2
that's true past a point it doesn't make any difference,That's true up to a point.,2
yes  But i think that's almost impossible next to impossible,I think that it is a completely possible.,1
oh yeah you hear a lot about it,You never hear anything about it.,1
okay i don't know about you but i hate to do yard work and i pay somebody to do all of my yard work,It is opulent of me to hire someone to do my yard work. ,0
uh mainly the the books i read are uh business related,Books about business are fun to read.,0
but really it's pitiful,It never changes.,0
well i'll let you go if you want to go ahead and take that um yeah uh it seems just if you watch what kind of crowd that start running around with and kind of keep up with who their friends are that's best way to avoid trouble from what i can gather,It doesn't matter what kind of crowd you're with as long as you're a good person.,1
um-hum oh that's true i hadn't thought of it that way i think,Some people I know had thought of it that way.,0
should handle cases like that,It's impossible to deal with those types of cases.,1
so he i mean i don't think he he could get hurt i just hope to God he doesn't ever hurt anyone but he he hasn't had any accidents luckily,Hopefully he doesn't hurt anyone; luckily he hasn't had accidents lately. ,2
uh-huh well that's interesting,I would like to learn more. ,0
there have been times that i have been bad about the credit cards and so pretty much now uh we don't use them too much if we travel or something yeah but you know,"Since I was not financially responsible, I limit my use of credit to travel.",2
and uh for me that's uh mostly newspaper and radio i almost never watch television as a matter of course so i don't get news from television except during the war i watched a lot of CNN because it was so good,i only get my news from TV and i avoid reading the newspaper,1
well your education's a lot what you make of it too so,Your education is what you make of it.,2
oh i guess i i just you know i always i have always tried to sew and uh i didn't like the way it looked so i'd never wear anything but now i i really have bought some uh new sewing equipment i bought the Serger machine,I tried to sew a dress.,0
coming out of the TV that just doesn't make my day you know,I love picturing that.,1
yeah yeah ours is seven point seven five almost eight and it drives me crazy i'm thinking you know everybody is sitting here screaming about,Ours is zero it drives me crazy and everyone is complaining about it.,1
yes it really is,I agree!,2
she be she gets back at kitty cat for all the hassle,My cat is a little terror. ,0
that's what the nurses kept saying as they laughed all the way you know down the hallway,The nurses said we were dumb as they laughed down the hallway.,0
yeah i don't i read about one or two thick novels like that a year,I only read one or two long novels a year. ,2
and an awful lot of the problems that we did on exams and our homework assignments and everything else involved converting,Our tests and homework had a lot of conversion problems.,2
and our Visa card was we could get through our credit union was like fourteen percent so we just we sent it back we,We could not get a Visa card from the credit union at all.  ,1
uh-huh yeah it does because you're you know you you're you know you're just costing costing yourself more money because you if you can't make the monthly the minimum payment you're paying interest again so yeah,Credit card companies should employ stricter screening and only give them to people who can definitely pay them off each month.,0
oh that ice storm yeah yeah i talked to somebody about two weeks ago from Rochester and same story they uh they really had a lot of damage from uh ice and all that,I spoke with someone from Florida and they said the weather was great.,1
eventually the at the hospital they said no to the doctor and they found out it wasn't even his electrocardiogram that there was some other patient you know by the time he'd been sent back to the nursing home and,He stayed in the hospital until he eventually passed away.,1
yeah thirteen that's not bad,Thirteen is good.,2
uh-huh because they have fewer students,They have more and more students.,1
i don't like i don't like scary books i can't  i can't read those i get paranoid,I don't like reading scary books because I get paranoid.,2
i i know i have uh  i'll stick to uh to uh you know sometimes i'll stick to a certain party depends on the guy,"I will tail someone, including you, depending on the circumstances.",2
all right see you later bud bye-bye,"Hello, friend, good to meet you.",1
it is boring here,It's boring here in New Hampshire.,0
how far west have you been,How long have you stayed at the places you've been to in the west?,0
yeah well i think a lot of it is the parents are totally irresponsible too we're talking these kids are fourteen years old The parents might be thirty years old,The kids parents are totally irresponsible and don't keep watch of their kids.,2
Campbell Earl Campbell and they run that man to death,That man did not die and instead prospered.,1
well i've held a summer job since i you know i was in the eleventh grade,I've never had a summer job,1
you know uh we sit there and and we think that they think the way we think,We assume that they think in the same way we do.,2
because the money becomes uh an issue the children become an issue the jobs become an issue and it's like you know what's left,I know because I've been there at various points in my life.,0
yeah on the on the right on the straight grain and all that stuff uh-huh,"On the crooked side of things, including the wrong doers.",1
just to argue and that type of thing you know,No arguing for the sake of arguing.,1
you know with this you know i don't know,I know exactly what I'm talking about.,1
they plead insanity and then three years later they're cured and let loose on society again,They knew they were faking it the whole time.,0
so yes right right and um i was impressed with the fact that um it wasn't that childish you know what i mean it wasn't my daughter's five i mean she understood everything she goes to almost all movies with us except you know R rated and uh,"My daughter who is five could comprehend it easily, but I was taken by the fact that it wasn't immature.",2
and it will never end they've been fighting,I heard they stopped the fighting today.,1
and when they're younger not when they're getting into undergraduate and college age,When they are twenty one or twenty two year old.,1
i kind of think it was necessary i mean i i i i don't i'm not a a big um pure power hitter anyway i mean i don't like these guys that get up there and swing for the downs every time i mean uh i think that uh that a player ought to hit a home run if he's got the pitch to do it but when you get two strikes on you you have a tendency you know you should you know shorten your swing a little bit you know if it's a perfect shot go for it but i mean you know the strike outs were a big problem for him and uh plus supposedly what i heard he was not much of a team player anyway so,He had only a couple of strike outs the whole season.,1
maybe litigating circumstances or something like that whereas maybe the judge does just doesn't care you committed this crime so i'm just going to throw the book at you whereas the jury may have a little,The judge always cares what crimes you have done.  ,1
oh it was just like a dump there and so finally you know i called and they they said you know it was behind there and i started taking my things behind there,I did not speak to them when I called them.,1
no other than than reestablishing the dominance of the United States in the in the world economy,The dominance of the US in the world economy has never wavered.,1
that uh really hit us hard but i've been able to work enough overtime to you know really help with the with covering the expenses so but we've never been we've been married for uh nearly four years and we've never been able to save any money and i think it's just hit both of us uh just in the past few months that we need to start saving some money no matter what we do we need to put that in our budget and just start doing it,We have always had savings in our household budget.,1
and uh somebody walks in there with a gun i mean they're going to want the money and you can tell by the people who are always caught that these people are there to get money for drugs i mean they don't want the money so uh so they can do something else with it,People who rob money usually use it for drugs.,2
i was beginning to think that was the only people on the network,I was starting to think that the network only had one group of people. ,2
oh uh so what's what's your favorite exercise,Do you have a favorite exercise?,2
did you go early in the morning or,Did you go shortly after waking up?,2
a discussion about that is why uh why CNN was well i listen to a Christian radio station and they were saying that CNN is definitely a world uh news service and uh,I missed the discussion about CNN that was on my favorite radio.,1
but it wasn't an exciting war it really wasn't,There wasn't a lot of resistance put up during the war.,0
on the whole i'm pleased when i have an opportunity to hear just the facts i would much prefer that they keep their analysis to themselves um since i don't necessarily agree with it or it tends to be extraordinarily trite,Hearing their analysis doesn't offer any benefit.,0
and um i know my husband now we go vote every time i don't care how small the ballot is i mean if there's one thing if there's one issue because the way i feel is if i don't vote then i don't have any reason to gripe,"My husband and I go to vote every time, no matter for what. ",2
yeah that's on right it's on again tonight,The television program the person is interested in is airing again tonight.,2
uh deductions uh allowable deductions for companies they put those in oh four of five years ago uh you know the the different insurance companies and things started promoting those plans,Insurance companies began offering new plans as a way of reducing tax burden.,2
yeah thirty two years and my wife's a Texan so of course naturally my children but they still think i'm a Yankee,My wife was born in Dallas.,0
um i don't think i ever tried,I haven't tried.,2
i i count them i i swim a sixteen fifty every day and uh so that's sixty six lengths of the pool,I like to swim early in the mornings so as to have the pool to myself.,0
the me decade uh-huh,A decade of selfishness.,2
well most of us like our freedom you know we like to be left alone and we like uh,"Most of us want to be left alone, we value our freedom.",2
yeah well like like i said at the beginning i've got so many connections with people in Central America my daughter-in-law is Panamanian you know and they have situations like like that down there where they,My daughter-in-law is from Germany.,1
what was wise guy,I don't know what wise guy was.,2
uh no i think that maybe the the automation people that are,Maybe it was automation.,2
yes it was absolutely horrible they took her immediately out of there and they just threw everything away that that she had from there i mean they wouldn't even take the uh the uh the dresser that she had that was her own dresser because it was just you know full of bugs they just left everything and uh bought her all brand new stuff and they they had called a home where they you know where they were on a waiting list to get into there and explained to the uh person that was in charge you know what had happened and that they had taking they had to take her out of the home because of the conditions and amazingly enough the very next day they had an opening and they they put her into that opening,They kept the dresser because it was not full of bugs.,1
but he's i don't know uh he's much much much more so It's sort of interesting though because he does bring a a much um different perspective with all the Gulf goings on um,He brings a much different perspective on the Gulf situation.,2
did you have you seen Sleeping with the Enemy,Have you ever seen Sleeping with the Enemy.,2
no i i that's what i spend most of my time watching that uh,That is something that I watch a lot. ,2
boy the cable TV they'll just show anything,Anything can be shown on cable TV.,2
well that's what it takes to uh because uh,Well that is how much work should be put in.,0
did you ever see the original one,I think the original is the best.,0
uh i i guess i see all of us benefiting and i i don't see it just relegated to the young but i see i i see so much going on that that's bad and this would give them a chance to have some positive self esteem something that they turn back,i think this would only tear down their self-esteem,1
so i don't but i could if i felt like it,I wouldn't be able to do it even if I wanted to.,1
um-hum that's right that's right a matter of fact i thought i had one funny story when um i was at TI the first year or so we were sent out to our record retention facility to look through two thousand boxes we had them in the warehouse and at that point it the warehouse was over across the road and it wasn't air conditioned,The warehouse we were sent to didn't have air conditioning.,2
yeah i mean they're they're throwing more money at it now than ever before and things are getting worse,"Despite the money, things aren't getting any better",2
i that's how it is here too that one newspaper is very liberal one of them is very conservative,That's how it is too with one paper each of conservative and liberal.,2
you know they match it um my wife used to they matched hers only hers was a little bit better than ours um she hasn't been working for a couple of years her father took sick so she's been taking care of him,Ours was a lot more better than my wife's.,1
and you said you were in Colorado Springs,Colorado Springs is where you are.,2
now how old are your girls,What are the ages of your girls?,2
right by herself,Right by herself,2
and so i hit there at seven o'clock in the morning get in a half hour swim and still make it to work on time,After work I try to go swimming.,1
make it right um-hum,Make it right with him.,0
oh oh sounds like that young one wants some attention,Looks like the young one wants attention because he is really pestering her.,0
i think we should uh primarily for economic reasons i think we should have um some quotas of course my family and i again again that was you know my uh grandparents came over during the time when uh there were quotas so they had to wait uh you know in uh certain parts of Europe for years before they were permitted to come over,My grandparents waited for a long time before they could get in.,2
well that's great yeah i do i surely do they do they surely do uh anything anything else cross your mind uh i guess most of us go by the audio which is the the television television or the radio,We don't listen to any audio.,1
uh i know,I've always known that.,0
got a chance to to go outside and,No chance to get outside.,1
yeah ours were ours were different i guess it seemed like they they were much there was much more casual dress although i don't think everybody looked at that you know as a good thing,"we had a very strict, formal dress code",1
and when you see uh Koreans and Chinese and Japanese who are taking all the uh science jobs all the engineering jobs all the mathematical jobs and you know here we are we can't we can't balance a checkbook without a calculator,We're struggling to do basic maths on accounting while many mathematical jobs are being filled by East Asians.,2
and not doing anything with them and it's costing us a heck of a lot of money and that's terrible to look at it that way but,It doesn't cost much for them to remain on death row.,1
oh yeah yeah they're working they're out they're studying harder and they're working harder,They are doing more work and more studying.,2
exactly it's it's staggering when you think that just here in central New York is uh Hamilton College is just a few miles south of you know maybe about twenty miles to the south from where i am and uh,Hamilton College is about 120 miles to the south of me.,1
and some of them don't realize that they've made a mistake and so uh you know a lot of energy and uh a lot of work and so forth uh goes into building something only to discover it doesn't work,"Mistakes are never made, and the finished products are always completely functional.",1
do you believe in uh capital punishment,"You don't know anything about capital punishment, so I will skip this question.",1
now where where where area where are you from,I am curious to know from where you originate.,2
you know it's just a hangover i guess from uh from that particular generation and uh but yeah they're they're just adamant that they're not going to be you know tested and they're going to fight it and um you know try and um see what they can do that it's an invasion of privacy but i don't particularly care to uh you know to uh to get into drugs or anything else so it's not a problem for me but i uh i can kind of understand from the other point of view,They are not willing to be tested.,2
yeah the Europeans think that you're baby is boiling over,Europeans are correct.,0
it does i i i very seldom if any i can't remember you know a day that i walked out and the wind wasn't blowing,The wind is so infrequent here that I can't remember the last time it was blowing.,1
they're gonna put us under if we don't become part of the new world order next year the United States if we don't i mean we're going to be in big trouble because when Europe unites unites that's why TI's building plants in Italy because they're going to have power like we can't imagine,If we do not become a part of the Insane Clown Posse we are gonna get put under.,1
are you keeping them sold them all,They were all sold.,2
yeah so that that's that that's always i'm i'm actually i'm a PhD student at the moment,I am a PhD student right now. ,2
yeah plus i think he lives at a small hillside too so,As far as I know he lives at the hillside. ,2
um there's hope i actually for all for the time i've spent there i still don't quite understand how certain things that i assume and require privacy and require not just that you be alone but actually that you have a sense of privacy,It wasn't hard to understand the tremendous amount of privacy there.,1
it's best to buy it that way because like our sales tax up here is seven percent,"If you buy it there, you won't have to pay any sales tax. ",0
squash or something like that  plant one of those and it takes up your whole space,A squash takes up your whole space.,2
they're talking tonight about this NIT game with Stanford and Massachusetts that the Stanford players actually took their final exams while they were on the road playing basketball,Stanford played a high school team in the NIT. ,1
well they're not rigid enough here in Texas,"Here in Texas, they aren't rigid enough.",2
yeah well what did you think of um a couple years ago for the Bears the refrigerator,What did you think about the Bears a few years ago.,2
and uh a little bit of word processing and then lotus applications to it,A little of word processing and lotus applications too.,2
exactly and the same with the airlines back in the days when they were uh controlled and and uh uh transcontinental or um um um um interstate uh trucking i mean as soon as the uh the federal government gave up control on all that they just went to hell in a hand basket,"If the government would back off, everyone would be better off. ",1
yes we always had to big concern about hurricanes because we're close enough to the coast and you know you had to have a supply like uh emergency supply on hand all the time during the hurricane season and,"We were always worried about hurricanes, since we were close to the coast.",2
yeah so what do you buy what are you looking for you look for an automatic you know you look for something with all the,Automatics cost a bit more than manuals.,0
he's written a lot of books boy he just sits down eight hours a day just like any other job,He cannot focus on one thing for very long.,1
but it seems as though if you really want to set a time side time to read the Bible and you work and and whatever uh that pretty well takes up your time for reading,"If you want to Read the bible and been a better person, it takes up much of your time.",0
yeah uh it's tempting it's got to be it's got be horribly tempting for those for those,I have been tempted in the past.,0
they've got good individual players but some are getting old Robert Parish is thirty seven years old,"They have good players, but those who are over 35, like Rober Parish, should retire.",0
oh yeah yeah it's um well of course on the green card you have to pay it when the bill comes in so there isn't any but on the Optima card it's um let's see right now it's running at about it's not too bad it's actually it's about sixteen and a half percent which is pretty good as far as credit cards go,There is only the Optima card. ,2
well how it really is a good a good family thing to do yeah and,It's not a good idea to do it with family. ,1
helps yeah,It is beneficial.,2
yeah i would too i mean we we're just about the last holdout in the world to to hold on to this old archaic system i mean even England's gone metric,We were the last users of the old system.,2
yeah hum that's good that's that's that's that's actually real good,That is bad.,1
and uh i mean just this this little town here is basically a college town,More students live here than residents.,0
um-hum um-hum yes oh i do too yes,"Yes, I also do agree, for just this matter.",0
we'll go ahead and call you another day maybe,Don't expect a call tomorrow because we're closed.,0
now how do they do the blackened,"So, how do they make it blackened?",2
i don't know what they used to do  before they,i'm pretty sure about what they did before,1
and then harvest like in December yeah that's right because the summertime you just can't grow anything and we tried to plant in like end of March or April and everything just toasted i mean it just,It is very easy to grow plants during the summer season. ,1
two what what do you have,I don't have any and neither do you.,1
oh they're doing some backpedaling,They're backpedaling a little.,2
uh because the pressures on them are are rather rather formidable,They're facing a lot of pressure.,2
uh he had only given up two hits and uh two walks and nine strike outs so he's he's back in the groove and a a guy his age this this afternoon here it's about seventy nine degrees,He had only give up a couple of hits.,2
in our country yeah,Not in this country. ,1
we have a cruise plan to sail from uh Solomon to Maryland up to Philadelphia this summer,I am excited to go on a cruise this summer.,0
yeah they're they're they're so they're they're a little bit cross with the US and we could remodel that system you know,"They are a little angry with the US, and we could reinvent that system.",2
uh i uh as far as uh you know federal and state uh the uh the state i live in has a five percent sales tax,"Sales tax rates vary by the state, ours is a little high.",0
if you see people who are severely injured it's very very badly they lose control of body functions they thrash around they scream you know uh it's just a very very bad thing and they never present that even the movies that want to show violence as real they don't really show you what happens with that real violence,Violence in real life is exactly the same as it is in movies. ,1
well not i didn't say New England but i could definitely tell your from the north,I didn't think you were from New England.,2
but they weren't,They were not.,2
nice talking to you too Beth bye,"Nice talking to you as well, Beth, Bye.",2
yeah you get your best litter is usually your first one,The first litter is the biggest and the best.,0
i think if if he was uh healthy San Francisco would have stomped those guys it wouldn't have been much of a contest,San Francisco lost all their games because of his poor health.,0
well no basketball is you know Michigan won it last year,Michigan beat UCLA last year.,0
no something happens then what,What happens after something happes?,2
yes when he goes to the doctor the first time,This is when he will initially visit the doctor.,2
we're both uh i was uh military but he's division three it goes back and forth Division well maybe division one right now he's in computers,"I've never been military, just civilian.",1
quite a lot um it's not it doesn't usually damage any businesses or anything but you can't get off of thirty five to um,It is impossible to get off of thirty five. ,0
oh that is a wonderful movie,I think that movie is interesting,0
no the the only people i know that have done anything remotely like that are people that have gone to be missionaries and that's only because i went to Baylor and a lot of students from Baylor go and and serve as missionaries during the summer but i think i think that's a terrible idea that's like forcing someone to donate to a charity,There are people that went as missionaries and a lot of students have joined them over the summer.,2
yeah pretty much and uh there's never really any any oh i remember in school there's just seem like there was a fight or a party or something going on every night you don't run into that up here i think i think because there's so many uh professional people if you want to call them that,There isn't every any parties or fights here because everyone is too professional. ,0
did you go early in the morning or,"You went after lunch, didn't you?",1
um i don't know it seems they're using it as a babysitter instead of a learning tool that really that really annoys me because i think i don't know i think my parents probably did that to me a little bit,My parents never allowed me to watch TV.,1
and and recycle and put my mother out of her livelihood,She's preparing to make a career change.,0
well yeah but TI is up there so that part of it would probably work out,No one is up there right now.,1
and although we don't have any criminal actions here we do have other um lawsuits that do go to trial from time to time,The lawsuits that go to trial only occur approximately twice a year.,0
no they don't take any i mean i couldn't even go there my husband couldn't we would have to receive all this special permission to go there for even when some you know in in inner company you know transfer or something and i have another friend from uh Costa Rica that she was born there she's Costa Rican i guess i do know a little bit i went to Mexico City one time and stayed i've been there twice and stayed and that was that was just really sad but a lot of it though is their debt i think that we should not loan them anymore money that if we still want to give them money give them money quit loaning it to them you're not going to get it back don't be indebted to anybody don't be the you know loaner nor borrower and it's just not good we need to if we feel like we need to give them money then give it to them but quit loaning all the money out which i don't think we're loaning anymore now but that's how we got into a problem if we got them we have sink them in the hole by us loaning them all of these billions of dollars that common sense you could just look at it and say they're not going to be able to pay us back,The church in Guatemala City is important to him.,0
and i keep thinking you know it's not it's really not too late at any point to do you know some,i keep thinking to myself that we could still change our course if we wanted to,0
just have a nice day,Don't forget to have a pleasant day today.,0
but i've had to to get my money back from them and had better luck with with some of the the more expensive companies,Some of the companies cost more than others to get money back from with all their fees.,0
yeah i was i had a pretty neat job i got to meet all the big wigs used to fly with the president and all that stuff um Collin Powell is one capable guy,"Thanks to my job, I was able to meet with important people like the president.",2
yeah it's kind of neat not to mention the fact that it's got four thousand ninety six colors and you can't get more than two fifty six out of a PC or a Mac either one,The colors are infinity much better on this one than a PC or Mac.,2
yes i know what you mean i i know my husband he um plays an instrument and he played in the band when he was in college and in high school and so he has a lot of all different kinds of music and he goes out of his way to play marching band music or,My spouse is musically inclined and has an extensive music collection.,2
isn't that funny i bet they're going to do a lot of research on that,Don't you think that's hilarious?,2
uh-huh uh-huh yeah the friend of ours over here he's got uh sixty five or sixty six Mustang with the six cylinder and uh i was look under the hood of that the other day and like you say you can see the road it's amazing,Our friend nearby has an old Corvette.,1
no well he retired from one job and then took another one you know took that early retirement deal now has two salaries,The early retirement deal used to have .5 salaries but now it has two. ,0
